native_word,roman_word,language
भाई,bhai,hindi
बहन,behen,hindi
मम्मी,mammi,hindi
पापा,papa,hindi
चाय,chai,hindi
रोटी,roti,hindi
दाल,daal,hindi
सब्जी,sabzi,hindi
मिठाई,mithai,hindi
बाजार,bazaar,hindi
ज़िंदगी,zindagi,hindi
दुनिया,duniya,hindi
देश,desh,hindi
गाँव,gaon,hindi
शहर,shahar,hindi
नदी,nadi,hindi
पहाड़,pahaad,hindi
जंगल,jangal,hindi
बारिश,baarish,hindi
हवा,hawa,hindi
ਭਰਾ,bhra,punjabi
ਭੈਣ,bhain,punjabi
ਮਾਂ,maan,punjabi
ਪਿਤਾ,pita,punjabi
ਚਾਹ,chah,punjabi
ਰੋਟੀ,roti,punjabi
ਦਾਲ,daal,punjabi
ਸਬਜ਼ੀ,sabzi,punjabi
ਬਾਜ਼ਾਰ,bazaar,punjabi
ਜ਼ਿੰਦਗੀ,zindagi,punjabi
ਦੇਸ਼,desh,punjabi
ਪਿੰਡ,pind,punjabi
ਸ਼ਹਿਰ,shahar,punjabi
ਦਰਿਆ,dariya,punjabi
ਪਹਾੜ,pahaad,punjabi
ਜੰਗਲ,jangal,punjabi
